ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
222108_at	0.6994	0.29954038	-1.046459	-5.2071	-0.3364071	AMIGO2	adhesion molecule with Ig like domain 2
219953_s_at	0.6994	0.29954624	1.046446	-5.2071	0.4668224	AKIP1	A-kinase interacting protein 1
210610_at	0.6994	0.2995742	-1.046385	-5.2071	-0.361023	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
206671_at	0.6994	0.29957665	-1.04638	-5.2071	-0.3738668	SAG	S-antigen visual arrestin
219150_s_at	0.6994	0.29960796	1.046312	-5.2072	0.4229042	ADAP1	ArfGAP with dual PH domains 1
203854_at	0.6994	0.29963784	-1.046246	-5.2073	-0.3088205	CFI	complement factor I
201687_s_at	0.6994	0.2996783	-1.046158	-5.2073	-0.3030451	API5	apoptosis inhibitor 5
211646_at	0.6994	0.29968064	-1.046153	-5.2073	-0.4770201	LOC102725526///IGHM///IGHG3///IGHG2///IGHG1///IGHA1///IGH	uncharacterized LOC102725526///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
64408_s_at	0.6994	0.2997019	1.046106	-5.2074	0.3443711	CALML4	calmodulin like 4
217062_at	0.6994	0.29974592	-1.04601	-5.2075	-0.3380839	DMPK	dystrophia myotonica protein kinase
206853_s_at	0.6994	0.29974882	-1.046004	-5.2075	-0.396426	MAP3K7	mitogen-activated protein kinase kinase kinase 7
216761_at	0.6994	0.29976332	-1.045972	-5.2075	-0.3546002		
212650_at	0.6994	0.29979552	-1.045902	-5.2076	-0.3531988	EHBP1	EH domain binding protein 1
218868_at	0.6994	0.29980363	-1.045884	-5.2076	-0.4047971	ACTR3B	ARP3 actin related protein 3 homolog B
208004_at	0.6994	0.29982454	-1.045838	-5.2076	-0.3569719	OPRPN	opiorphin prepropeptide
47083_at	0.6995	0.29986852	-1.045742	-5.2077	-0.224706	C7orf26	chromosome 7 open reading frame 26
201320_at	0.6995	0.29991704	-1.045637	-5.2078	-0.3151124	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
204321_at	0.6996	0.29999607	-1.045464	-5.208	-0.3091652	NEO1	neogenin 1
208692_at	0.6996	0.30001	-1.045434	-5.208	-0.2877938	RPS3	ribosomal protein S3
220018_at	0.6997	0.30012538	-1.045182	-5.2082	-0.282726	CBLL1	Cbl proto-oncogene like 1
206495_s_at	0.6997	0.30019598	1.045028	-5.2084	0.4530127	HINFP	histone H4 transcription factor
207706_at	0.6997	0.30019689	-1.045026	-5.2084	-0.442443	USH2A	usherin
206067_s_at	0.6997	0.30020135	1.045016	-5.2084	0.660745	WT1	Wilms tumor 1
200678_x_at	0.6997	0.30020158	-1.045016	-5.2084	-0.3867371	GRN	granulin
220834_at	0.6998	0.30029027	-1.044822	-5.2086	-0.3295023	MS4A12	membrane spanning 4-domains A12
220737_at	0.6998	0.30035713	-1.044676	-5.2087	-0.3044694	RPS6KA6	ribosomal protein S6 kinase A6
211362_s_at	0.6998	0.30036584	-1.044657	-5.2087	-0.2469863	SERPINB13	serpin family B member 13
216027_at	0.6998	0.30038323	1.044619	-5.2088	0.417401	TMX4	thioredoxin related transmembrane protein 4
212133_at	0.6998	0.30041988	-1.044539	-5.2088	-0.2828962	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2
210211_s_at	0.6998	0.30052033	1.04432	-5.209	0.3342773	HSP90AA1	heat shock protein 90 alpha family class A member 1
203127_s_at	0.6998	0.30056806	1.044216	-5.2091	0.319377	SPTLC2	serine palmitoyltransferase long chain base subunit 2
206450_at	0.6998	0.30062405	-1.044094	-5.2093	-0.252603	DBH	dopamine beta-hydroxylase
200742_s_at	0.6998	0.3006358	1.044069	-5.2093	0.4087173	TPP1	tripeptidyl peptidase 1
206457_s_at	0.6998	0.30070469	-1.043919	-5.2094	-0.3625096	DIO1	deiodinase, iodothyronine type I
221439_at	0.6998	0.30070694	1.043914	-5.2094	0.2985435	RBBP9	RB binding protein 9, serine hydrolase
40665_at	0.6998	0.3007219	-1.043881	-5.2094	-0.3974747	FMO3	flavin containing monooxygenase 3
206434_at	0.6998	0.3007536	-1.043812	-5.2095	-0.4619932	SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3
202676_x_at	0.6998	0.30075579	-1.043807	-5.2095	-0.378552	FASTK	Fas activated serine/threonine kinase
216668_at	0.6998	0.30077364	-1.043768	-5.2096	-0.3305319		
215936_s_at	0.6998	0.30077767	-1.04376	-5.2096	-0.4583917	KIAA1033	KIAA1033
215684_s_at	0.6999	0.30087782	1.043541	-5.2098	0.4021523	ASCC2	activating signal cointegrator 1 complex subunit 2
213611_at	0.6999	0.30090204	-1.043489	-5.2098	-0.3554571	AQP5	aquaporin 5
219277_s_at	0.6999	0.30090376	-1.043485	-5.2098	-0.2600479	OGDHL	oxoglutarate dehydrogenase-like
205331_s_at	0.6999	0.30095139	-1.043381	-5.2099	-0.2787795	REEP2	receptor accessory protein 2
216585_at	0.7001	0.30105751	1.04315	-5.2101	0.4222925		
209858_x_at	0.7003	0.30115357	-1.042941	-5.2103	-0.4770811	MPPE1	metallophosphoesterase 1
214290_s_at	0.7003	0.3012196	-1.042797	-5.2105	-0.4541242	HIST2H2AA4///HIST2H2AA3	histone cluster 2, H2aa4///histone cluster 2, H2aa3
218668_s_at	0.7003	0.30122104	-1.042794	-5.2105	-0.3007738	RAP2C	RAP2C, member of RAS oncogene family
200700_s_at	0.7003	0.30130688	1.042607	-5.2106	0.3359744	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
204207_s_at	0.7003	0.30130722	-1.042606	-5.2106	-0.2589399	RNGTT	RNA guanylyltransferase and 5'-phosphatase
206865_at	0.7004	0.30135603	-1.0425	-5.2107	-0.4279647	HRK	harakiri, BCL2 interacting protein
209802_at	0.7004	0.30141666	-1.042368	-5.2108	-0.335152	PHLDA2	pleckstrin homology like domain family A member 2
207707_s_at	0.7004	0.30144249	1.042312	-5.2109	0.2140736	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component
215210_s_at	0.7004	0.30146765	-1.042257	-5.211	-0.3024066	DLST	dihydrolipoamide S-succinyltransferase
202697_at	0.7006	0.30160659	1.041955	-5.2112	0.2585412	NUDT21	nudix hydrolase 21
221208_s_at	0.7006	0.30166535	-1.041827	-5.2113	-0.4548625	MSANTD2	Myb/SANT DNA binding domain containing 2
214605_x_at	0.7006	0.30167356	-1.04181	-5.2114	-0.4112514	GPR1	G protein-coupled receptor 1
218471_s_at	0.7006	0.30170919	-1.041732	-5.2114	-0.2918374	BBS1	Bardet-Biedl syndrome 1
201740_at	0.7006	0.30172817	-1.041691	-5.2115	-0.2600145	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3
210878_s_at	0.7006	0.30174614	-1.041652	-5.2115	-0.3390432	KDM3B	lysine demethylase 3B
208532_x_at	0.7007	0.30181798	-1.041496	-5.2117	-0.2661483	KRTAP5-8	keratin associated protein 5-8
211523_at	0.7007	0.3018252	-1.04148	-5.2117	-0.3640026	GNRHR	gonadotropin releasing hormone receptor
202997_s_at	0.7007	0.30189202	-1.041335	-5.2118	-0.2568512	LOXL2	lysyl oxidase like 2
211022_s_at	0.7007	0.30197919	-1.041145	-5.212	-0.4074727	ATRX	ATRX, chromatin remodeler
203132_at	0.7007	0.30198381	-1.041135	-5.212	-0.3940434	RB1	RB transcriptional corepressor 1
220255_at	0.7007	0.30201319	-1.041071	-5.212	-0.3100951	FANCE	Fanconi anemia complementation group E
203059_s_at	0.7007	0.30203094	-1.041033	-5.2121	-0.2509075	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
210849_s_at	0.7007	0.30204772	-1.040996	-5.2121	-0.3529991	VPS41	VPS41, HOPS complex subunit
203872_at	0.7009	0.30214237	1.040791	-5.2123	0.3828219	ACTA1	actin, alpha 1, skeletal muscle
216269_s_at	0.7009	0.30217999	-1.040709	-5.2124	-0.3291236	ELN	elastin
206716_at	0.7009	0.30224347	1.040571	-5.2125	0.3379471	UMOD	uromodulin
219211_at	0.7009	0.30224361	1.040571	-5.2125	0.4917038	USP18	ubiquitin specific peptidase 18
206029_at	0.7009	0.30228217	-1.040487	-5.2126	-0.4359028	ANKRD1	ankyrin repeat domain 1
215328_at	0.7012	0.30254757	-1.039911	-5.2131	-0.3414959	EFR3B	EFR3 homolog B
211334_at	0.7012	0.30255419	-1.039897	-5.2131	-0.3998797	MRE11A	MRE11 homolog A, double strand break repair nuclease
210322_x_at	0.7012	0.30255476	-1.039895	-5.2131	-0.3022014	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked
213075_at	0.7012	0.3026002	1.039797	-5.2132	0.3791923	OLFML2A	olfactomedin like 2A
212726_at	0.7012	0.30267351	-1.039638	-5.2134	-0.3944957	PHF2	PHD finger protein 2
34449_at	0.7012	0.30267356	-1.039638	-5.2134	-0.2743186	CASP2	caspase 2
220624_s_at	0.7012	0.30269517	-1.039591	-5.2134	-0.3338039	ELF5	E74 like ETS transcription factor 5
210987_x_at	0.7012	0.30270728	-1.039564	-5.2134	-0.2412351	TPM1	tropomyosin 1 (alpha)
219638_at	0.7012	0.30270744	-1.039564	-5.2134	-0.3946363	FBXO22	F-box protein 22
205317_s_at	0.7012	0.30276879	-1.039431	-5.2136	-0.3498581	SLC15A2	solute carrier family 15 member 2
207083_s_at	0.7012	0.30281389	-1.039333	-5.2136	-0.2622907	CC2D1A	coiled-coil and C2 domain containing 1A
221822_at	0.7012	0.30286677	-1.039219	-5.2138	-0.2517279	SGF29	SAGA complex associated factor 29
215232_at	0.7012	0.30286877	-1.039214	-5.2138	-0.3064487	ARHGAP44	Rho GTPase activating protein 44
206698_at	0.7012	0.3028863	-1.039176	-5.2138	-0.4160314	XK	X-linked Kx blood group
213565_s_at	0.7012	0.30290521	-1.039135	-5.2138	-0.3531755	SMAD6	SMAD family member 6
210684_s_at	0.7012	0.30296732	-1.039001	-5.214	-0.2947961	DLG4	discs large MAGUK scaffold protein 4
219292_at	0.7012	0.30297553	-1.038983	-5.214	-0.417372	THAP1	THAP domain containing 1
205638_at	0.7012	0.30298239	-1.038968	-5.214	-0.3087038	ADGRB3	adhesion G protein-coupled receptor B3
212925_at	0.7014	0.30309892	-1.038715	-5.2142	-0.3887972	MISP	mitotic spindle positioning
210487_at	0.7014	0.30310419	1.038704	-5.2142	0.8005691	DNTT	DNA nucleotidylexotransferase
217340_at	0.7014	0.30314914	-1.038606	-5.2143	-0.2741352		
215939_at	0.7015	0.30321878	-1.038456	-5.2145	-0.4210783		
212100_s_at	0.7017	0.30341381	-1.038033	-5.2148	-0.2675026	POLDIP3	DNA polymerase delta interacting protein 3
209355_s_at	0.7017	0.30341924	-1.038021	-5.2149	-0.4387271	PLPP3	phospholipid phosphatase 3
217139_at	0.7017	0.30344139	-1.037973	-5.2149	-0.3110516	VDAC1	voltage dependent anion channel 1
221323_at	0.7017	0.30346204	-1.037929	-5.2149	-0.2705868	ULBP1	UL16 binding protein 1
221954_at	0.7017	0.30351635	-1.037811	-5.2151	-0.2640387	OSER1	oxidative stress responsive serine rich 1
201664_at	0.7017	0.30352107	-1.037801	-5.2151	-0.3412332	SMC4	structural maintenance of chromosomes 4
52940_at	0.7019	0.30365573	-1.037509	-5.2153	-0.3011956	SIGIRR	single Ig and TIR domain containing
214809_at	0.7019	0.3036617	-1.037496	-5.2153	-0.3809189	LOC100294145	uncharacterized LOC100294145
208739_x_at	0.7019	0.30366396	-1.037491	-5.2153	-0.3328803	LOC101929087///SUMO2///SUMO3	small ubiquitin-related modifier 2 pseudogene///small ubiquitin-like modifier 2///small ubiquitin-like modifier 3
210825_s_at	0.702	0.30379903	-1.037199	-5.2156	-0.2819524	PEBP1	phosphatidylethanolamine binding protein 1
201964_at	0.702	0.30382022	-1.037153	-5.2157	-0.4052852	SETX	senataxin
211795_s_at	0.702	0.30385374	-1.037081	-5.2157	-0.432121	FYB	FYN binding protein
213882_at	0.702	0.30385382	-1.03708	-5.2157	-0.34702	TM2D1	TM2 domain containing 1
218644_at	0.702	0.30390403	-1.036972	-5.2158	-0.2821947	PLEK2	pleckstrin 2
209703_x_at	0.702	0.30392034	-1.036937	-5.2159	-0.2350976	METTL7A	methyltransferase like 7A
209834_at	0.7021	0.30400009	-1.036764	-5.216	-0.3211844	CHST3	carbohydrate sulfotransferase 3
203959_s_at	0.7023	0.30408902	-1.036572	-5.2162	-0.322547	ZBTB40	zinc finger and BTB domain containing 40
210181_s_at	0.7023	0.30413495	1.036472	-5.2163	0.326833	CABP1	calcium binding protein 1
220677_s_at	0.7023	0.30419489	-1.036343	-5.2164	-0.3521229	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8
209477_at	0.7023	0.30422739	-1.036273	-5.2165	-0.2752662	EMD	emerin
221205_at	0.7023	0.30427702	-1.036165	-5.2166	-0.3162749		
206289_at	0.7023	0.30431754	-1.036078	-5.2166	-0.4362268	HOXA4	homeobox A4
208845_at	0.7023	0.30433039	1.03605	-5.2167	0.2971648	VDAC3	voltage dependent anion channel 3
205873_at	0.7023	0.30436142	-1.035983	-5.2167	-0.241317	PIGL	phosphatidylinositol glycan anchor biosynthesis class L
210102_at	0.7023	0.3043915	-1.035918	-5.2168	-0.3979791	VWA5A	von Willebrand factor A domain containing 5A
219492_at	0.7023	0.3044281	1.035839	-5.2169	0.3025734	CHIC2	cysteine rich hydrophobic domain 2
218066_at	0.7023	0.30444976	-1.035792	-5.2169	-0.2651653	SLC12A7	solute carrier family 12 member 7
210242_x_at	0.7023	0.30447969	-1.035727	-5.217	-0.2542241	ST20	suppressor of tumorigenicity 20
213482_at	0.7023	0.3045157	-1.035649	-5.217	-0.2394427	DOCK3	dedicator of cytokinesis 3
217690_at	0.7023	0.3045432	-1.03559	-5.2171	-0.2984657	ENOSF1	enolase superfamily member 1
216154_at	0.7023	0.30457868	-1.035513	-5.2172	-0.3628531		
213486_at	0.7023	0.3046019	-1.035463	-5.2172	-0.3350111	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)
219191_s_at	0.7023	0.30464135	1.035378	-5.2173	0.4353402	BIN2	bridging integrator 2
220854_at	0.7023	0.30466443	1.035328	-5.2173	0.3823261		
205934_at	0.7023	0.30470121	-1.035249	-5.2174	-0.3178473	PLCL1	phospholipase C like 1
209598_at	0.7023	0.30470339	-1.035244	-5.2174	-0.4128096	PNMA2	paraneoplastic Ma antigen 2
209229_s_at	0.7023	0.30473834	-1.035169	-5.2175	-0.2694732	PPP6R1	protein phosphatase 6 regulatory subunit 1
202765_s_at	0.7024	0.30480811	-1.035018	-5.2176	-0.2421854	FBN1	fibrillin 1
205277_at	0.7024	0.30483937	-1.03495	-5.2177	-0.2554948	PRDM2	PR/SET domain 2
203567_s_at	0.7026	0.30495591	-1.034699	-5.2179	-0.2665143	TRIM38	tripartite motif containing 38
217569_x_at	0.7028	0.30506685	-1.034459	-5.2181	-0.3206825		
203497_at	0.7028	0.30509659	-1.034395	-5.2182	-0.2559051	MED1	mediator complex subunit 1
217530_at	0.7029	0.30523421	1.034098	-5.2185	0.3306531	SLC34A1	solute carrier family 34 member 1
208456_s_at	0.7029	0.30523635	-1.034094	-5.2185	-0.5372618	RRAS2	related RAS viral (r-ras) oncogene homolog 2
205106_at	0.7031	0.30536534	-1.033815	-5.2187	-0.3643434	CMC4///MTCP1	C-X9-C motif containing 4///mature T-cell proliferation 1
207539_s_at	0.7031	0.30537768	-1.033789	-5.2187	-0.3619909	IL4	interleukin 4
201869_s_at	0.7031	0.30540787	-1.033724	-5.2188	-0.4565132	TBL1X	transducin (beta)-like 1X-linked
201965_s_at	0.7032	0.30547131	-1.033587	-5.2189	-0.2912258	SETX	senataxin
210865_at	0.7032	0.30549196	-1.033542	-5.219	-0.2430539	FASLG	Fas ligand
212399_s_at	0.7032	0.30555499	-1.033407	-5.2191	-0.2619577	VGLL4	vestigial like family member 4
218654_s_at	0.7033	0.30563744	1.033229	-5.2193	0.3008329	MRPS33	mitochondrial ribosomal protein S33
219411_at	0.7033	0.30564725	-1.033208	-5.2193	-0.3970009	ELMO3	engulfment and cell motility 3
220949_s_at	0.7033	0.30568738	-1.033121	-5.2194	-0.2873911	C7orf49	chromosome 7 open reading frame 49
202696_at	0.7033	0.30574475	1.032998	-5.2195	0.270537	OXSR1	oxidative stress responsive 1
201354_s_at	0.7033	0.3058095	-1.032858	-5.2196	-0.3661496	BAZ2A	bromodomain adjacent to zinc finger domain 2A
217590_s_at	0.7033	0.30583135	1.032811	-5.2196	0.330486	TRPA1	transient receptor potential cation channel subfamily A member 1
219677_at	0.7033	0.30586944	1.032729	-5.2197	0.3228732	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
219870_at	0.7033	0.30592623	-1.032607	-5.2198	-0.4218702	ATF7IP2	activating transcription factor 7 interacting protein 2
210836_x_at	0.7033	0.30594495	-1.032566	-5.2199	-0.2654974	PDE4D	phosphodiesterase 4D
220203_at	0.7033	0.30594816	-1.032559	-5.2199	-0.3744631	BMP8A	bone morphogenetic protein 8a
202397_at	0.7033	0.30601781	-1.032409	-5.22	-0.3199908	NUTF2P4///NUTF2	nuclear transport factor 2 pseudogene 4///nuclear transport factor 2
221821_s_at	0.7033	0.30601924	-1.032406	-5.22	-0.2758537	KANSL2	KAT8 regulatory NSL complex subunit 2
218169_at	0.7033	0.30602016	1.032404	-5.22	0.3351712	VAC14	Vac14, PIKFYVE complex component
211123_at	0.7033	0.30602389	-1.032396	-5.22	-0.2867215	SLC5A5	solute carrier family 5 member 5
211186_s_at	0.7033	0.30604808	-1.032344	-5.2201	-0.2594295	AAK1	AP2 associated kinase 1
200857_s_at	0.7033	0.30608873	-1.032257	-5.2201	-0.2555426	NCOR1	nuclear receptor corepressor 1
208901_s_at	0.7033	0.30613312	-1.032161	-5.2202	-0.294226	TOP1	topoisomerase (DNA) I
202164_s_at	0.7035	0.30626812	-1.031871	-5.2205	-0.3351609	CNOT8	CCR4-NOT transcription complex subunit 8
203210_s_at	0.7035	0.30627735	-1.031851	-5.2205	-0.4319381	RFC5	replication factor C subunit 5
201417_at	0.7035	0.30634709	-1.031701	-5.2207	-0.3182338	SOX4	SRY-box 4
217198_x_at	0.7035	0.30638902	-1.03161	-5.2207	-0.3689831	IGHG1///IGHD///IGHA2///IGH	immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy locus
215965_at	0.7035	0.306393	-1.031602	-5.2207	-0.3746379		
210552_s_at	0.7035	0.30640753	-1.031571	-5.2208	-0.3725778	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
202558_s_at	0.7037	0.30652751	1.031313	-5.221	0.332609	HSPA13	heat shock protein family A (Hsp70) member 13
46270_at	0.7038	0.30660503	1.031146	-5.2212	0.2671388	UBAP1	ubiquitin associated protein 1
32137_at	0.7038	0.306611	-1.031133	-5.2212	-0.2446518	JAG2	jagged 2
208360_s_at	0.704	0.30672794	-1.030882	-5.2214	-0.2549138	ERVH-4	endogenous retrovirus group H member 4
216744_at	0.704	0.30676641	-1.030799	-5.2215	-0.3397884		
205820_s_at	0.704	0.30681089	-1.030703	-5.2216	-0.3114662	APOC3	apolipoprotein C3
215340_at	0.704	0.30686011	-1.030597	-5.2217	-0.3374752	ADCY1	adenylate cyclase 1
202819_s_at	0.704	0.30690719	-1.030496	-5.2218	-0.256532	TCEB3	transcription elongation factor B subunit 3
217789_at	0.704	0.30694195	-1.030422	-5.2218	-0.2902194	SNX6	sorting nexin 6
208390_s_at	0.704	0.306943	-1.030419	-5.2218	-0.2536778	GLP1R	glucagon like peptide 1 receptor
220056_at	0.704	0.30700778	-1.03028	-5.222	-0.2672277	IL22RA1	interleukin 22 receptor subunit alpha 1
207014_at	0.704	0.30701306	-1.030269	-5.222	-0.3282734	GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit
210912_x_at	0.704	0.30702972	-1.030233	-5.222	-0.261987	GSTM4	glutathione S-transferase mu 4
40569_at	0.7042	0.30716502	-1.029942	-5.2223	-0.2655521	MZF1	myeloid zinc finger 1
220628_s_at	0.7043	0.3072054	-1.029856	-5.2223	-0.4351556	SDK2	sidekick cell adhesion molecule 2
211852_s_at	0.7045	0.30733781	-1.029571	-5.2226	-0.3492092	ATRN	attractin
201646_at	0.7045	0.30736127	-1.029521	-5.2227	-0.3101462	SCARB2	scavenger receptor class B member 2
216972_at	0.7047	0.30749803	-1.029227	-5.2229	-0.3599541	SPAM1	sperm adhesion molecule 1
211322_s_at	0.7051	0.307753	-1.02868	-5.2234	-0.3703278	SARDH	sarcosine dehydrogenase
209473_at	0.7051	0.30777939	1.028624	-5.2235	0.2871534	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1
207056_s_at	0.7051	0.30780224	1.028575	-5.2235	0.4473375	SLC4A8	solute carrier family 4 member 8
220928_s_at	0.7051	0.30783275	-1.028509	-5.2236	-0.3550185	PRDM16	PR/SET domain 16
210670_at	0.7051	0.3078514	-1.028469	-5.2236	-0.2948265	PPY	pancreatic polypeptide
220910_at	0.7051	0.30785594	-1.028459	-5.2236	-0.3184043	FRAS1	Fraser extracellular matrix complex subunit 1
213654_at	0.7057	0.30819271	-1.027738	-5.2243	-0.2656796	TAF5L	TATA-box binding protein associated factor 5 like
202086_at	0.7057	0.30819484	-1.027733	-5.2243	-0.438929	MX1	MX dynamin like GTPase 1
220457_at	0.7057	0.30827902	-1.027553	-5.2244	-0.2617341	SAMD4B	sterile alpha motif domain containing 4B
214952_at	0.7057	0.30829929	-1.027509	-5.2245	-0.3410204	NCAM1	neural cell adhesion molecule 1
208849_at	0.7057	0.3083323	-1.027438	-5.2246	-0.3704261		
212807_s_at	0.7057	0.30833289	-1.027437	-5.2246	-0.3148744	SORT1	sortilin 1
203613_s_at	0.7057	0.30835345	1.027393	-5.2246	0.2946841	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6
213037_x_at	0.7057	0.30841123	1.027269	-5.2247	0.2648378	STAU1	staufen double-stranded RNA binding protein 1
218608_at	0.7057	0.30841341	-1.027265	-5.2247	-0.5914789	ATP13A2	ATPase 13A2
206020_at	0.7058	0.30855155	1.026969	-5.225	0.3318314	SOCS6	suppressor of cytokine signaling 6
220303_at	0.7058	0.30856003	-1.026951	-5.225	-0.3446398	PDZD3	PDZ domain containing 3
222255_at	0.7058	0.30864029	-1.026779	-5.2252	-0.3887807	PRX	periaxin
208598_s_at	0.7058	0.3086425	-1.026774	-5.2252	-0.2553458	HUWE1	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase
213559_s_at	0.7058	0.3086709	-1.026713	-5.2252	-0.3138171	ZNF467	zinc finger protein 467
201244_s_at	0.7058	0.30867491	-1.026705	-5.2252	-0.2648446	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
214260_at	0.7058	0.30868038	1.026693	-5.2252	0.2517617	COPS8	COP9 signalosome subunit 8
217667_at	0.7059	0.3087667	-1.026508	-5.2254	-0.3369524	SEC14L1P1	SEC14 like 1 pseudogene 1
201840_at	0.7059	0.3087781	-1.026484	-5.2254	-0.2733917	NEDD8	neural precursor cell expressed, developmentally down-regulated 8
213619_at	0.706	0.30888463	-1.026256	-5.2256	-0.2507427	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)
203941_at	0.706	0.30890361	-1.026215	-5.2257	-0.2994678	INTS9	integrator complex subunit 9
205867_at	0.706	0.30890846	-1.026205	-5.2257	-0.4306014	PTPN11	protein tyrosine phosphatase, non-receptor type 11
206799_at	0.706	0.30893984	-1.026138	-5.2257	-0.2350764	SCGB1D2	secretoglobin family 1D member 2
209699_x_at	0.7061	0.30900673	1.025995	-5.2259	0.3487556	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2
208070_s_at	0.7061	0.30907847	-1.025841	-5.226	-0.3393544	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit
217607_x_at	0.7061	0.30908465	-1.025828	-5.226	-0.4629717	EIF4G2	eukaryotic translation initiation factor 4 gamma 2
208911_s_at	0.7061	0.30914313	1.025703	-5.2261	0.3557673	PDHB	pyruvate dehydrogenase (lipoamide) beta
203023_at	0.7061	0.30916109	1.025665	-5.2262	0.289681	NOP16	NOP16 nucleolar protein
204411_at	0.7061	0.30922582	-1.025526	-5.2263	-0.4352992	KIF21B	kinesin family member 21B
209208_at	0.7061	0.30924544	-1.025484	-5.2263	-0.4783584	MPDU1	mannose-P-dolichol utilization defect 1
210040_at	0.7061	0.3092616	1.02545	-5.2264	0.3641635	SLC12A5	solute carrier family 12 member 5
213154_s_at	0.7061	0.30926676	-1.025439	-5.2264	-0.2521019	BICD2	BICD cargo adaptor 2
74694_s_at	0.7061	0.30935167	-1.025257	-5.2265	-0.2695217	RABEP2	rabaptin, RAB GTPase binding effector protein 2
201605_x_at	0.7061	0.30936071	-1.025238	-5.2266	-0.2191721	CNN2	calponin 2
210474_s_at	0.7061	0.3093864	-1.025183	-5.2266	-0.3755495	CDK11A///CDK11B	cyclin dependent kinase 11A///cyclin dependent kinase 11B
214890_s_at	0.7061	0.30941726	-1.025117	-5.2267	-0.2754395	FAM149A	family with sequence similarity 149 member A
214846_s_at	0.7063	0.30956233	-1.024807	-5.2269	-0.2750353	ALPK3	alpha kinase 3
214467_at	0.7063	0.30957571	1.024778	-5.227	0.3640416	GPR65	G protein-coupled receptor 65
214506_at	0.7063	0.30958979	-1.024748	-5.227	-0.2375125	GPR182	G protein-coupled receptor 182
205906_at	0.7063	0.30961848	-1.024687	-5.2271	-0.3333247	FOXJ1	forkhead box J1
213903_s_at	0.7064	0.30971524	-1.02448	-5.2272	-0.3329926	CNOT9	CCR4-NOT transcription complex subunit 9
211432_s_at	0.7064	0.30976236	-1.02438	-5.2273	-0.3109423	TYRO3	TYRO3 protein tyrosine kinase
215985_at	0.7064	0.30977677	-1.024349	-5.2274	-0.2660446	HCG8///ZNRD1ASP	HLA complex group 8///zinc ribbon domain containing 1 antisense, pseudogene
214627_at	0.7064	0.30977844	-1.024345	-5.2274	-0.2992325	EPX	eosinophil peroxidase
220164_s_at	0.7064	0.3098231	-1.02425	-5.2275	-0.3446319	FBXO40	F-box protein 40
208640_at	0.7064	0.30984362	1.024206	-5.2275	0.2960596	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
205933_at	0.7064	0.30990284	-1.02408	-5.2276	-0.4609059	SETBP1	SET binding protein 1
210966_x_at	0.7064	0.30996232	-1.023953	-5.2277	-0.2732534	LARP1	La ribonucleoprotein domain family member 1
219370_at	0.7064	0.31001026	-1.02385	-5.2278	-0.4329655	RPRM	reprimo, TP53 dependent G2 arrest mediator candidate
204549_at	0.7064	0.31001225	-1.023846	-5.2278	-0.242472	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
215841_at	0.7064	0.31001551	-1.023839	-5.2278	-0.2772871	GUCA1B	guanylate cyclase activator 1B
213947_s_at	0.7064	0.31007443	-1.023713	-5.2279	-0.3762164	NUP210	nucleoporin 210
215831_at	0.7064	0.31015214	-1.023548	-5.2281	-0.4059308		
216750_at	0.7064	0.31015654	-1.023538	-5.2281	-0.2817063	APBB2	amyloid beta precursor protein binding family B member 2
218611_at	0.7064	0.31015962	1.023532	-5.2281	0.3126098	IER5	immediate early response 5
209651_at	0.7064	0.31017243	-1.023504	-5.2281	-0.3549143	TGFB1I1	transforming growth factor beta 1 induced transcript 1
